title,price,product_link,category,image_url
"Samsung Galaxy Buds Pro True Wireless Bluetooth Earbuds Black",34500,"https://silkroademart.com/public/products/samsung-galaxy-buds-pro-true-wireless-bluetooth-earbuds-black","Earphone accessories-","https://silkroademart.com/public/images/samsung-galaxy-buds-pro-true-wireless-bluetooth-earbuds-black.webp"
"Red korean ginseng roots red panax ginseng fine root 100g 250g",20800,"https://silkroademart.com/public/products/red-korean-ginseng-roots-red-panax-ginseng-fine-root-100g-250g","Healthy Drinks","https://silkroademart.com/public/images/red-korean-ginseng-roots-red-panax-ginseng-fine-root-100g-250g.webp"
"ESTEE LAUDER 4 MISCELLANEOUS TRAVEL SIZE ANTIAGING PRODUCTS",18000,"https://silkroademart.com/public/products/estee-lauder-4-miscellaneous-travel-size-antiaging-products","Anti-Aging","https://silkroademart.com/public/images/estee-lauder-4-miscellaneous-travel-size-antiaging-products.webp"
"Samsung Galaxy Buds3 Pro SILVER SMR630",84875,"https://silkroademart.com/public/products/samsung-galaxy-buds3-pro-silver-smr630","Earbuds","https://silkroademart.com/public/images/samsung-galaxy-buds3-pro-silver-smr630.webp"
"Samsung Galaxy Buds 3 Pro Wireless With realtime translations White",89975,"https://silkroademart.com/public/products/samsung-galaxy-buds-3-pro-wireless-with-realtime-translations-white","Earbuds","https://silkroademart.com/public/images/samsung-galaxy-buds-3-pro-wireless-with-realtime-translations-white.webp"
"Blink Mini 2 Indoor and Outdoor Plugin Smart Security Camera HD Nig",11495,"https://silkroademart.com/public/products/blink-mini-2-indoor-and-outdoor-plugin-smart-security-camera-hd-nig","SpyCamera","https://silkroademart.com/public/images/blink-mini-2-indoor-and-outdoor-plugin-smart-security-camera-hd-nig.webp"
"Ring Spotlight Cam Plus OutdoorIndoor Wireless Battery Security Camera WHITE",59500,"https://silkroademart.com/public/products/ring-spotlight-cam-plus-outdoorindoor-wireless-battery-security-camera-white","Camera","https://silkroademart.com/public/images/ring-spotlight-cam-plus-outdoorindoor-wireless-battery-security-camera-white.webp"
"Polaroid PoGo Instant Mobile Thermal Printer Zink Zero Ink CZA10011B NO ADAPTER",12820,"https://silkroademart.com/public/products/polaroid-pogo-instant-mobile-thermal-printer-zink-zero-ink-cza10011b-no-adapter","Printer","https://silkroademart.com/public/images/polaroid-pogo-instant-mobile-thermal-printer-zink-zero-ink-cza10011b-no-adapter.webp"
"Blink Mini 2 Indoor and Outdoor Plugin smart secu",11560,"https://silkroademart.com/public/products/blink-mini-2-indoor-and-outdoor-plugin-smart-secu","Spycamera","https://silkroademart.com/public/images/blink-mini-2-indoor-and-outdoor-plugin-smart-secu.webp"
"NEW ARLO ESSENTIAL XL 3CAMERA VMC3352 QCP002079",99995,"https://silkroademart.com/public/products/new-arlo-essential-xl-3camera-vmc3352-qcp002079","Camera","https://silkroademart.com/public/images/new-arlo-essential-xl-3camera-vmc3352-qcp002079.webp"
