question	answer
How do I reset my password?	Click the "Forgot Password" link on the login page and follow the instructions.
What should I do if I encounter a problem with my account?	Contact our customer support team for assistance.
Can I change my shipping address after placing an order?	Yes, shipping addresses can be changed before the order is dispacthed. Please contact support immediately for any issues.
Do you have a loyalty program?	No, we we have not started loyalty program yet
How do I check my order status?	You can check your order status by logging into your account or using the tracking number.
Do you offer subscription services?	No, we do not offer subscription services.
Can I share my order with someone else?	Yes, you can share your order confirmation or tracking information with others.
What if my item arrives damaged?	If your item is damaged, please contact our customer support team for a replacement.
Can I buy in bulk?	Yes, we offer bulk buying options for many products. Please contact us for more details.
Can I purchase a product for resale?	Yes, we allow resellers. Contact us for wholesale pricing and details.
How do I unsubscribe from emails?	You can unsubscribe by clicking the "unsubscribe" link at the bottom of our emails.
Can I find a product in a physical store?	We do not have physical stores, but our products are available online.
Are your products eco-friendly?	Many of our products are eco-friendly. Please check product descriptions for more details.
Do you have a mobile app?	We do not have a mobile app at the moment, but our website is mobile-friendly.
What should I do if I forgot my order number?	Please contact our customer support team with your name and email address, and we’ll assist you.
What happens if my order is lost in transit?	If your order is lost, please contact customer support, and we will assist with a replacement or refund.
How do I track a package on a third-party site?	Use the tracking number provided and enter it on the carrier’s website (e.g., USPS, FedEx, UPS).
Can I add items to an existing order?	Once an order is placed, you cannot add items. Please create a new order for additional products.
What is the best way to care for my products?	Please refer to the care instructions in the product description for specific guidelines.
Do you offer any installation services?	Currently, we do not offer installation services.
Can I request a custom product?	We offer customization for some products. Please contact our support for more information.
Are the product prices inclusive of tax?	Prices are inclusive of taxes and duties.
How do I apply for a job at your company?	Visit our careers page to view open positions and apply online.
Can I request an invoice?	Yes, invoices can be provided upon request. Contact customer support for assistance.
How can I place an order on Silkroad e-Mart?	Visit the product page, select your item, and proceed to checkout.
Can I modify my order after it's placed?	Once an order is confirmed, it cannot be modified. Please contact customer service for assistance.
How will I know if my order is confirmed?	You will receive an order confirmation email with details once your order is successfully placed.
Can I order from Silkroad e-Mart outside India?	Currently, we only ship within India.
I haven’t received my order yet. What should I do?	Please check the tracking details or contact customer support for assistance.
Do you offer gift wrapping for orders?	Gift wrapping is not currently available.
How do I know if my order has been shipped?	You will receive a shipment confirmation email with tracking details.
How long will it take for my order to arrive?	Delivery time depends on the shipping address and will be confirmed at checkout.
Do you charge extra for shipping?	Shipping fees vary based on location and will be shown during checkout.
Can I choose a delivery date for my order?	Currently, specific delivery date selection is not available.
Are there any hidden charges when placing an order?	No, there are no hidden charges. All costs are shown at checkout.
How do I contact customer service about my order?	You can reach customer service via email or the contact details on the website.
Can I order a product that is out of stock?	Products that are out of stock are not available for purchase.
Can I exchange an item from my order?	Exchanging items is subject to the returns policy and availability.
How do I know if my order is eligible for a return?	Check the Returns Policy for eligibility criteria on your purchase.
Can I save my order for later?	You can add items to your cart and return to complete the order later.
How do I change the payment method for my order?	Payment methods cannot be changed after the order is placed.
How do I get a refund for a canceled order?	Refunds are processed to your original payment method. Check the Refund Policy for details.
Can I place an order over the phone?	Orders can only be placed via the website.
Will I receive a notification when my order ships?	Yes, you will receive an email or SMS notification when your order ships.
Do you offer any discounts on bulk orders?	Contact customer service for inquiries regarding bulk orders.
How can I track my payment for an order?	Payment confirmation will be sent to your email once the order is processed.
What do I do if my payment fails during checkout?	Try again with a different payment method or contact customer service for assistance.
How can I get in touch if I have an issue with my order?	Reach out to us via email or phone for support.
Can I add or remove items after checkout?	Items cannot be added or removed after checkout is completed.
How can I view my order history?	Log into your account to view all previous orders.
Will I be notified when an item is back in stock?	Yes, you can sign up for notifications when an out-of-stock item becomes available.
Can I choose my delivery courier service?	Delivery couriers are assigned based on your location and service availability.
Can I get a refund for a sale item?	Sale items are generally not eligible for refunds, as per the Returns Policy.
Can I place a special order for an item?	Special orders are subject to availability and customer service approval.
How long do I have to return an item?	Returns must be initiated within a specified period, as per the Returns Policy.
What products does Silkroad e-Mart offer?	We offer a wide range of eco-friendly, sustainable, and high-quality products including daily essentials and unique items.
Are Silkroad e-Mart' products eco-friendly?	Yes, we focuse on providing sustainable and eco-friendly products.
What is the warranty on Silkroad e-Mart products?	Product warranties, if available, are specified in the individual product descriptions.
Can I track my order from Silkroad e-Mart?	Yes, we provide order tracking. Check your order confirmation email for tracking details.
How long does delivery take?	Delivery times vary depending on the location. You can check estimated delivery on the checkout page.
Are the products available for wholesale?	Wholesale inquiries can be made directly through the contact page.
Are the products from Silkroad e-Mart safe to use?	Yes, we ensure the products are of high quality and safe for use.
Can I purchase gift cards from Silkroad e-Mart?	We do not currently offer gift cards.
What are the terms and conditions for purchases?	Terms and conditions can be found on our website.
Does Silkroad e-Mart sell products for pets?	We offer a variety of products, but it is unclear if they sell pet products. Check our catalog for more details.
What are the shipping carriers used by Silkroad e-Mart?	We use Delhivery, Bluedart and Indiapost among others. Delivery options are shown at checkout.
Do Silkroad e-Mart products come with a manual?	Manuals are included with applicable products. Refer to the product page for specific details.
How can I provide feedback on a product?	Feedback can be shared through reviews on the product page or directly with customer support.
